Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/upload,858,0,6400.0,6331.817010373092,1429.4191999942996,7667.451700006495,123.0,7.223398346242496,0.0,6400,6600,6700,6800,7000,7300,7400,7500,7700,7700,7700
,Aggregated,858,0,6400.0,6331.817010373092,1429.4191999942996,7667.451700006495,123.0,7.223398346242496,0.0,6400,6600,6700,6800,7000,7300,7400,7500,7700,7700,7700
